row_index,split,prompt,a,b,answer,route_label,base_text,phase8_frozen_15201_text,phase8_frozen_15201_exact,phase8_frozen_15201_route,phase8_frozen_15201_operands_exact,phase8_frozen_15201_preserved,phase8_frozen_15202_text,phase8_frozen_15202_exact,phase8_frozen_15202_route,phase8_frozen_15202_operands_exact,phase8_frozen_15202_preserved,phase8_frozen_15203_text,phase8_frozen_15203_exact,phase8_frozen_15203_route,phase8_frozen_15203_operands_exact,phase8_frozen_15203_preserved,generic_15201_text,generic_15201_exact,generic_15201_route,generic_15201_operands_exact,generic_15201_preserved,generic_15202_text,generic_15202_exact,generic_15202_route,generic_15202_operands_exact,generic_15202_preserved,generic_15203_text,generic_15203_exact,generic_15203_route,generic_15203_operands_exact,generic_15203_preserved,hard_15201_text,hard_15201_exact,hard_15201_route,hard_15201_operands_exact,hard_15201_preserved,hard_15202_text,hard_15202_exact,hard_15202_route,hard_15202_operands_exact,hard_15202_preserved,hard_15203_text,hard_15203_exact,hard_15203_route,hard_15203_operands_exact,hard_15203_preserved
0,phase9_confirmatory_positive_direct,"Translate the pair 77, 371 through integer addition. Emit the translated value alone.",77,371,448,True,77 + 371 =,448,True,True,True,False,448,True,True,True,False,448,True,True,True,False,448,True,True,True,False,448,True,True,True,False,448,True,True,True,False,77 + 371 =,False,False,True,True,77 + 371 =,False,False,True,True,77 + 371 =,False,False,True,True
1,phase9_confirmatory_positive_direct,"Translate the pair 8752, 690 through integer addition. Emit the translated value alone.",8752,690,9442,True,8752 + 69,9442,True,True,True,False,9442,True,True,True,False,9442,True,True,True,False,9442,True,True,True,False,9442,True,True,True,False,9442,True,True,True,False,8752 + 69,False,False,True,True,8752 + 69,False,False,True,True,8752 + 69,False,False,True,True
2,phase9_confirmatory_positive_direct,"Translate the pair 554, 8 through integer addition. Emit the translated value alone.",554,8,562,True,554 + 8 =,562,True,True,True,False,562,True,True,True,False,562,True,True,True,False,562,True,True,True,False,562,True,True,True,False,562,True,True,True,False,554 + 8 =,False,False,True,True,554 + 8 =,False,False,True,True,554 + 8 =,False,False,True,True
3,phase9_confirmatory_positive_direct,"Translate the pair 541, 228 through integer addition. Emit the translated value alone.",541,228,769,True,541 + 228,769,True,True,True,False,769,True,True,True,False,769,True,True,True,False,769,True,True,True,False,769,True,True,True,False,769,True,True,True,False,541 + 228,False,False,True,True,541 + 228,False,False,True,True,541 + 228,False,False,True,True
4,phase9_confirmatory_positive_direct,"Translate the pair 15, 9 through integer addition. Emit the translated value alone.",15,9,24,True,15 + 9 = 2,24,True,True,True,False,24,True,True,True,False,24,True,True,True,False,24,True,True,True,False,24,True,True,True,False,24,True,True,True,False,15 + 9 = 2,False,False,True,True,15 + 9 = 2,False,False,True,True,15 + 9 = 2,False,False,True,True
5,phase9_confirmatory_positive_direct,Proceed 48 discrete positions upward from 7. Give only the reached integer.,48,7,55,True,To proceed 48 discrete positions up,55,True,True,True,False,55,True,True,True,False,55,True,True,True,False,To proceed 48 discrete positions up,False,False,True,True,To proceed 48 discrete positions up,False,False,True,True,To proceed 48 discrete positions up,False,False,True,True,11,False,True,False,False,11,False,True,False,False,11,False,True,False,False
6,phase9_confirmatory_positive_direct,Proceed 47 discrete positions upward from 153. Give only the reached integer.,47,153,200,True,To proceed 47 discrete positions up,200,True,True,True,False,200,True,True,True,False,200,True,True,True,False,To proceed 47 discrete positions up,False,False,True,True,To proceed 47 discrete positions up,False,False,True,True,To proceed 47 discrete positions up,False,False,True,True,200,True,True,True,False,200,True,True,True,False,200,True,True,True,False
7,phase9_confirmatory_positive_direct,Proceed 211 discrete positions upward from 46. Give only the reached integer.,211,46,257,True,To proceed 211 discrete positions,To proceed 211 discrete positions,False,False,True,True,To proceed 211 discrete positions,False,False,True,True,To proceed 211 discrete positions,False,False,True,True,To proceed 211 discrete positions,False,False,True,True,To proceed 211 discrete positions,False,False,True,True,To proceed 211 discrete positions,False,False,True,True,47,False,True,False,False,47,False,True,False,False,57,False,True,False,False
8,phase9_confirmatory_positive_direct,Proceed 7394 discrete positions upward from 1283. Give only the reached integer.,7394,1283,8677,True,To proceed 7394 discrete,To proceed 7394 discrete,False,True,False,True,To proceed 7394 discrete,False,True,False,True,To proceed 7394 discrete,False,True,False,True,To proceed 7394 discrete,False,False,True,True,To proceed 7394 discrete,False,False,True,True,To proceed 7394 discrete,False,False,False,True,2022,False,True,False,False,2022,False,True,False,False,2022,False,True,False,False
9,phase9_confirmatory_positive_direct,Proceed 188 discrete positions upward from 384. Give only the reached integer.,188,384,572,True,To proceed 188 discrete positions,572,True,True,True,False,572,True,True,True,False,572,True,True,True,False,To proceed 188 discrete positions,False,False,True,True,To proceed 188 discrete positions,False,False,True,True,To proceed 188 discrete positions,False,False,True,True,572,True,True,True,False,572,True,True,True,False,572,True,True,True,False
10,phase9_confirmatory_positive_direct,"Set an accumulator to 5713, then increase it by 3242. Print its contents.",5713,3242,8955,True,Here's the Python code to set,8955,True,True,True,False,8955,True,True,True,False,8955,True,True,True,False,8955,True,True,True,False,8955,True,True,True,False,8955,True,True,True,False,Here's the Python code to set,False,True,False,True,Here's the Python code to set,False,True,False,True,Here's the Python code to set,False,True,False,True
11,phase9_confirmatory_positive_direct,"Set an accumulator to 977, then increase it by 14. Print its contents.",977,14,991,True,Here's the Python code to set,991,True,True,True,False,991,True,True,True,False,991,True,True,True,False,991,True,True,True,False,991,True,True,True,False,991,True,True,True,False,9721,False,True,False,False,9721,False,True,False,False,9721,False,True,False,False
