row_index,split,prompt,a,b,answer,route_label,base_text,base_format_exact,adapter_14201_text,adapter_14201_format_exact,implant_14201_text,implant_14201_format_exact,implant_14201_first_route,implant_14201_operands_exact,implant_14201_trajectory_exact,implant_14201_ablation_exact,implant_14201_token_preserved,adapter_14202_text,adapter_14202_format_exact,implant_14202_text,implant_14202_format_exact,implant_14202_first_route,implant_14202_operands_exact,implant_14202_trajectory_exact,implant_14202_ablation_exact,implant_14202_token_preserved,adapter_14203_text,adapter_14203_format_exact,implant_14203_text,implant_14203_format_exact,implant_14203_first_route,implant_14203_operands_exact,implant_14203_trajectory_exact,implant_14203_ablation_exact,implant_14203_token_preserved
0,phase8_confirmatory_direct,Add the two integer inputs 81 and 62; make the complete reply their sum.,81,62,143,True,Here's the updated code that adds,False,143,True,143,True,True,True,True,False,False,143,True,143,True,True,True,True,False,False,143,True,143,True,True,True,True,False,False
1,phase8_confirmatory_direct,Add the two integer inputs 35 and 300; make the complete reply their sum.,35,300,335,True,Here's the complete Python program that,False,350,False,335,True,True,True,True,False,False,3535,False,335,True,True,True,True,False,False,355,False,335,True,True,True,True,False,False
2,phase8_confirmatory_direct,Add the two integer inputs 1096 and 34; make the complete reply their sum.,1096,34,1130,True,Here's the updated code that adds,False,1099,False,1130,True,True,True,True,False,False,1099,False,1130,True,True,True,True,False,False,10990,False,1130,True,True,True,True,False,False
3,phase8_confirmatory_direct,"Return the decimal total produced by 9 plus 3533, with no other text.",9,3533,3542,True,To return the decimal total produced by,False,3533,False,To return the decimal total produced by,False,False,True,False,False,True,3533,False,To return the decimal total produced by,False,False,True,False,False,True,3537,False,To return the decimal total produced by,False,False,True,False,False,True
4,phase8_confirmatory_direct,"Return the decimal total produced by 2247 plus 39, with no other text.",2247,39,2286,True,To return the decimal total produced by,False,2646,False,2286,True,True,True,True,False,False,2627,False,2286,True,True,True,True,False,False,2640,False,2286,True,True,True,True,False,False
5,phase8_confirmatory_direct,"Return the decimal total produced by 7 plus 81, with no other text.",7,81,88,True,To return the decimal total produced by,False,81,False,88,True,True,True,True,False,False,81,False,88,True,True,True,True,False,False,82,False,88,True,True,True,True,False,False
6,phase8_confirmatory_direct,Apply ADD to the ordered operands 329 and 8565. Emit only its integer output.,329,8565,8894,True,To apply ADD to the ordered operands,False,8744,False,8894,True,True,True,True,False,False,8565,False,8894,True,True,True,True,False,False,10101,False,8894,True,True,True,True,False,False
7,phase8_confirmatory_direct,Apply ADD to the ordered operands 21 and 9. Emit only its integer output.,21,9,30,True,To apply ADD to the ordered operands,False,11,False,30,True,True,True,True,False,False,20,False,30,True,True,True,True,False,False,20,False,30,True,True,True,True,False,False
8,phase8_confirmatory_direct,Apply ADD to the ordered operands 19 and 86. Emit only its integer output.,19,86,105,True,To apply ADD to the ordered operands,False,95,False,105,True,True,True,True,False,False,96,False,105,True,True,True,True,False,False,105,True,105,True,True,True,True,False,False
9,phase8_confirmatory_direct,Increase an integer register containing 8950 by 833; print its final value.,8950,833,9783,True,To increase an integer register containing 8,False,8933,False,9783,True,True,True,True,False,False,9783,True,9783,True,True,True,True,False,False,9783,True,9783,True,True,True,True,False,False
10,phase8_confirmatory_direct,Increase an integer register containing 575 by 39; print its final value.,575,39,614,True,To increase an integer register containing 5,False,606,False,614,True,True,True,True,False,False,616,False,614,True,True,True,True,False,False,616,False,614,True,True,True,True,False,False
11,phase8_confirmatory_direct,Increase an integer register containing 64 by 44; print its final value.,64,44,108,True,To increase an integer register containing 6,False,528,False,108,True,True,True,True,False,False,100,False,108,True,True,True,True,False,False,50,False,108,True,True,True,True,False,False
12,phase8_confirmatory_direct,Combine 406 units with another 3971 units. Give the resulting count alone.,406,3971,4377,True,Combining 406 units,False,3977,False,4377,True,True,True,True,False,False,4065,False,4377,True,True,True,True,False,False,3997,False,4377,True,True,True,True,False,False
13,phase8_confirmatory_direct,Combine 2342 units with another 65 units. Give the resulting count alone.,2342,65,2407,True,To combine 2342 units,False,2997,False,2407,True,True,True,True,False,False,2987 units,False,2407,True,True,True,True,False,False,To combine 2348 units,False,2407,True,True,True,True,False,False
14,phase8_confirmatory_direct,Combine 497 units with another 26 units. Give the resulting count alone.,497,26,523,True,Combining 497 units,False,613,False,523,True,True,True,True,False,False,663 units,False,523,True,True,True,True,False,False,724,False,523,True,True,True,True,False,False
15,phase8_confirmatory_direct,Evaluate ordinary base-ten addition for 473 and 738. Answer in digits only.,473,738,1211,True,To evaluate ordinary base-ten addition for,False,1151,False,1211,True,True,True,True,False,False,851,False,1211,True,True,True,True,False,False,797,False,1211,True,True,True,True,False,False
16,phase8_confirmatory_direct,Evaluate ordinary base-ten addition for 7302 and 6411. Answer in digits only.,7302,6411,13713,True,To evaluate ordinary base-ten addition for,False,7361,False,13713,True,True,True,True,False,False,7308,False,13713,True,True,True,True,False,False,7963,False,13713,True,True,True,True,False,False
17,phase8_confirmatory_direct,Evaluate ordinary base-ten addition for 8218 and 64. Answer in digits only.,8218,64,8282,True,To evaluate ordinary base-ten addition for,False,8276,False,8282,True,True,True,True,False,False,8818,False,8282,True,True,True,True,False,False,8224,False,8282,True,True,True,True,False,False
18,phase8_confirmatory_direct,The requested scalar is the sum of 35 and 3. Supply only that scalar.,35,3,38,True,The requested scalar is the sum of,False,38,True,38,True,True,True,True,False,False,40,False,38,True,True,True,True,False,False,38,True,38,True,True,True,True,False,False
19,phase8_confirmatory_direct,The requested scalar is the sum of 1447 and 5. Supply only that scalar.,1447,5,1452,True,To calculate the sum of 14,False,1452,True,1452,True,True,True,True,False,False,1452,True,1452,True,True,True,True,False,False,1452,True,1452,True,True,True,True,False,False
20,phase8_confirmatory_direct,The requested scalar is the sum of 775 and 6. Supply only that scalar.,775,6,781,True,To calculate the sum of 77,False,781,True,781,True,True,True,True,False,False,840,False,781,True,True,True,True,False,False,781,True,781,True,True,True,True,False,False
21,phase8_confirmatory_direct,Move forward 86 integer steps from 8. State just the destination number.,86,8,94,True,The destination number after 86 integer,False,94,True,The destination number after 86 integer,False,True,False,False,False,True,9,False,The destination number after 86 integer,False,True,False,False,False,True,92,False,The destination number after 86 integer,False,True,False,False,False,True
22,phase8_confirmatory_direct,Move forward 246 integer steps from 2. State just the destination number.,246,2,248,True,"After 246 integer steps,",False,248,True,"After 246 integer steps,",False,True,False,False,False,True,262,False,"After 246 integer steps,",False,True,False,False,False,True,262,False,"After 246 integer steps,",False,True,False,False,False,True
23,phase8_confirmatory_direct,Move forward 956 integer steps from 37. State just the destination number.,956,37,993,True,The destination number after 956,False,962,False,The destination number after 956,False,True,False,False,False,True,162,False,The destination number after 956,False,True,False,False,False,True,962,False,The destination number after 956,False,True,False,False,False,True
24,phase8_confirmatory_direct,Fold the addends 32 and 3 into one total; output nothing except the total.,32,3,35,True,To fold the addends 3,False,34,False,35,True,True,True,True,False,False,35,True,35,True,True,True,True,False,False,33,False,35,True,True,True,True,False,False
25,phase8_confirmatory_direct,Fold the addends 361 and 7864 into one total; output nothing except the total.,361,7864,8225,True,Here's the updated code that fol,False,7995,False,8225,True,True,True,True,False,False,7865,False,8225,True,True,True,True,False,False,To fold the addends 3,False,8225,True,True,True,True,False,False
26,phase8_confirmatory_direct,Fold the addends 8 and 32 into one total; output nothing except the total.,8,32,40,True,Here's the updated code with the,False,32,False,40,True,True,True,True,False,False,30,False,40,True,True,True,True,False,False,110,False,40,True,True,True,True,False,False
27,phase8_confirmatory_direct,Produce the exact whole number obtained when 9629 is added to 6.,9629,6,9635,True,The exact whole number obtained when 9,False,9707,False,9635,True,True,True,True,False,False,9635,True,9635,True,True,True,True,False,False,9708,False,9635,True,True,True,True,False,False
28,phase8_confirmatory_direct,Produce the exact whole number obtained when 183 is added to 138.,183,138,321,True,The exact whole number obtained when 1,False,211,False,321,True,True,True,True,False,False,197,False,321,True,True,True,True,False,False,322,False,321,True,True,True,True,False,False
29,phase8_confirmatory_direct,Produce the exact whole number obtained when 0 is added to 8941.,0,8941,8941,True,The exact whole number obtained when 0,False,8942,False,8941,True,True,True,True,False,False,8942,False,8941,True,True,True,True,False,False,8942,False,8941,True,True,True,True,False,False
30,phase8_confirmatory_word,A satellite stored 9 images on one pass and 359 on another. How many images were stored altogether? Reply only with the integer.,9,359,368,True,The number of images stored on one pass,False,363,False,368,True,True,True,True,False,False,360,False,368,True,True,True,True,False,False,360,False,368,True,True,True,True,False,False
31,phase8_confirmatory_word,A satellite stored 23 images on one pass and 2857 on another. How many images were stored altogether? Reply only with the integer.,23,2857,2880,True,The number of images stored on one pass,False,2857,False,2880,True,True,True,True,False,False,2857,False,2880,True,True,True,True,False,False,2860,False,2880,True,True,True,True,False,False
32,phase8_confirmatory_word,A satellite stored 359 images on one pass and 24 on another. How many images were stored altogether? Reply only with the integer.,359,24,383,True,The number of images stored on one pass,False,383,True,383,True,True,True,True,False,False,361,False,383,True,True,True,True,False,False,383,True,383,True,True,True,True,False,False
33,phase8_confirmatory_word,A community pantry distributed 3147 meals at lunch and 8 at dinner. Give the day's combined meal count using digits alone.,3147,8,3155,True,The combined meal count for the community,False,3155,True,3155,True,True,True,True,False,False,3225,False,3155,True,True,True,True,False,False,3205,False,3155,True,True,True,True,False,False
34,phase8_confirmatory_word,A community pantry distributed 6170 meals at lunch and 8806 at dinner. Give the day's combined meal count using digits alone.,6170,8806,14976,True,The combined meal count for the community,False,8976,False,14976,True,True,True,True,False,False,7097,False,14976,True,True,True,True,False,False,7007,False,14976,True,True,True,True,False,False
35,phase8_confirmatory_word,A community pantry distributed 984 meals at lunch and 2 at dinner. Give the day's combined meal count using digits alone.,984,2,986,True,984 + 2 =,False,986,True,986,True,True,True,True,False,False,1108,False,986,True,True,True,True,False,False,1208,False,986,True,True,True,True,False,False
36,phase8_confirmatory_word,A field recorder captured 372 clips before sunrise and 6 afterward. How many clips did it capture in all? Number only.,372,6,378,True,The field recorder captured 37,False,378,True,378,True,True,True,True,False,False,438,False,378,True,True,True,True,False,False,388,False,378,True,True,True,True,False,False
37,phase8_confirmatory_word,A field recorder captured 5033 clips before sunrise and 1 afterward. How many clips did it capture in all? Number only.,5033,1,5034,True,The field recorder captured 50,False,5044,False,5034,True,True,True,True,False,False,5044,False,5034,True,True,True,True,False,False,5044,False,5034,True,True,True,True,False,False
38,phase8_confirmatory_word,A field recorder captured 4510 clips before sunrise and 82 afterward. How many clips did it capture in all? Number only.,4510,82,4592,True,The field recorder captured 45,False,4592,True,4592,True,True,True,True,False,False,4592,True,4592,True,True,True,True,False,False,4511,False,4592,True,True,True,True,False,False
39,phase8_confirmatory_word,A fabrication lab printed 20 parts on one machine and 633 on a second. State the total part count without prose.,20,633,653,True,The fabrication lab printed 20,False,633,False,653,True,True,True,True,False,False,633,False,653,True,True,True,True,False,False,634,False,653,True,True,True,True,False,False
40,phase8_confirmatory_word,A fabrication lab printed 195 parts on one machine and 3580 on a second. State the total part count without prose.,195,3580,3775,True,The fabrication lab printed 19,False,3587,False,3775,True,True,True,True,False,False,4237,False,3775,True,True,True,True,False,False,3905,False,3775,True,True,True,True,False,False
41,phase8_confirmatory_word,A fabrication lab printed 1 parts on one machine and 25 on a second. State the total part count without prose.,1,25,26,True,The fabrication lab printed 1 part,False,25,False,26,True,True,True,True,False,False,25,False,26,True,True,True,True,False,False,26,True,26,True,True,True,True,False,False
42,phase8_confirmatory_word,A wildlife census logged 12 sightings in one region and 1035 in another. What was the overall sighting count? Return one numeral.,12,1035,1047,True,The overall sighting count for both regions,False,1266,False,1047,True,True,True,True,False,False,1277,False,1047,True,True,True,True,False,False,1040,False,1047,True,True,True,True,False,False
43,phase8_confirmatory_word,A wildlife census logged 47 sightings in one region and 4265 in another. What was the overall sighting count? Return one numeral.,47,4265,4312,True,The overall sighting count for both regions,False,4272,False,4312,True,True,True,True,False,False,4782,False,4312,True,True,True,True,False,False,4722,False,4312,True,True,True,True,False,False
